customer_id,cohort,price,price_name,commercial_type,invoicing_period_length,next_invoice_at,avg_3m_admin_bookings,avg_3m_user_bookings,city,city_id,specialization_name,specialization_id,recognized_mrr,normalized_admin_bookings,normalized_user_bookings,normalized_revenue,engagement_score,price_usage_fit,churn_risk_score,churn_risk_quartiles,normalized_engagmnet,optimized_price,new_churn_risk_score,new_churn_risk_segments,price_change_%
399,01/07/2024,99,GoldPro 99€ monthly,jameda_gold_pro,1,28/02/2025 00:00,0,15,Hessen,7162,Ergotherapeut,32,99.0,0.0,0.04132231404958678,0.5051546391752577,0.05165289256198347,8.193526989303777,16.361227532326563,High,0.031477091987841314,99.0,16.361227532326563,High,0.0
105,01/12/2024,119,GoldPro 119€ monthly,jameda_gold_pro,1,20/02/2025 00:00,2,1,Jena,1563,Ergotherapeut,32,119.0,0.0025806451612903226,0.0027548209366391185,0.6082474226804123,0.006024171332089221,37.95812027186491,75.91322845806377,Critical,0.0036711089305045378,119.0,75.91322845806377,Critical,0.0
147,01/01/2024,84,Dynamic GoldPro 84€ monthly (15% discount),jameda_gold_pro,1,18/02/2025 00:00,7,7,Berlin,1007,Ergotherapeut,32,84.0,0.00903225806451613,0.01928374655647383,0.42783505154639173,0.03313694126010842,9.91806648892,19.819564507209943,High,0.020193536053928856,84.0,19.819564507209943,High,0.0
218,01/07/2023,99,GoldPro 99€ monthly,jameda_gold_pro,1,14/02/2025 00:00,0,1,Leipzig,1051,Allgemeinmediziner,33,99.0,0.0,0.0027548209366391185,0.5051546391752577,0.003443526170798898,37.57605205340544,75.15038234372548,Critical,0.002098472799189421,99.0,75.15038234372548,Critical,0.0
185,01/06/2023,159,Platin 159€ monthly,jameda_platin,1,22/02/2025 00:00,0,1,Püttlingen,10360,Allgemeinmediziner,33,159.0,0.0,0.0027548209366391185,0.8144329896907216,0.003443526170798898,60.58179820855163,121.16187465401786,Critical,0.002098472799189421,159.0,121.16187465401786,Critical,0.0
16,01/09/2024,159,Platin 159€ monthly,jameda_platin,1,27/02/2025 00:00,0,9,Hildesheim,1556,Allgemeinmediziner,33,159.0,0.0,0.024793388429752067,0.8144329896907216,0.030991735537190084,19.86822414366478,39.720952419560966,Critical,0.018886255192704787,159.0,39.720952419560966,Critical,0.0
280,01/05/2023,99,Dynamic GoldPro 99€ monthly,jameda_gold_pro,1,02/02/2025 00:00,0,17,Oer-Erkenschwick,10228,Allgemeinmediziner,33,99.0,0.0,0.046831955922865015,0.5051546391752577,0.05853994490358127,7.370222428481453,14.711174884511115,High,0.035674037586220154,99.0,14.711174884511115,High,0.0
419,01/05/2024,89,Dynamic GoldPro 89€ monthly (10% discount),jameda_gold_pro,1,28/02/2025 00:00,1,5,Karlstein am Main,8559,Allgemeinmediziner,33,89.0,0.0012903225806451613,0.013774104683195593,0.4536082474226804,0.01850795343463965,15.911638429698948,31.814022882680575,Critical,0.011278682061604662,89.0,31.814022882680575,Critical,0.0
160,01/06/2023,99,GoldPro 99€ monthly,jameda_gold_pro,1,14/02/2025 00:00,30,47,Essen,1052,Allgemeinmediziner,33,99.0,0.03870967741935484,0.12947658402203857,0.5051546391752577,0.20055540744690303,2.399153008229653,4.698028312735855,Low,0.12221776353162951,186.56,14.4075,Medium,88.44444444444444
69,01/10/2024,1,GoldPro 1€ monthly,jameda_gold_pro,1,04/02/2025 00:00,129,14,Köln,1021,Allgemeinmediziner,33,1.0,0.1664516129032258,0.03856749311294766,0.0,0.21466097929441036,0.0,-0.10733048964720518,Low,0.13081364965847692,195.0,14.1378,Medium,19400.0
331,01/10/2024,87,Dynamic GoldPro 99€ monthly,jameda_gold_pro,1,16/02/2025 00:00,148,1,Wiesbaden,1744,Allgemeinmediziner,33,87.0,0.19096774193548388,0.0027548209366391185,0.44329896907216493,0.1944112681062828,2.1686620956809164,4.2401185573086915,Low,0.11847354651650807,181.28,14.4075,Medium,108.36781609195403
68,01/07/2023,99,Dynamic GoldPro 99€ monthly,jameda_gold_pro,1,20/02/2025 00:00,152,10,Berlin,1007,Allgemeinmediziner,33,99.0,0.19612903225806452,0.027548209366391185,0.5051546391752577,0.2305642939660535,2.0998737212702943,4.084465295557562,Low,0.1405050739718431,195.0,13.2183,Medium,96.96969696969697
292,01/09/2021,99,Jameda import jameda_gold_pro 99.00 m1,jameda_gold_pro,1,22/02/2025 00:00,290,71,Berlin,1007,Allgemeinmediziner,33,99.0,0.3741935483870968,0.19559228650137742,0.5051546391752577,0.6186839065138185,0.8035113257096782,1.2976806981624471,Low,0.3770238077831408,195.0,4.9791,Low,96.96969696969697
67,01/12/2023,99,Dynamic GoldPro 99€ monthly,jameda_gold_pro,1,28/02/2025 00:00,440,3,Meerbusch,1260,Allgemeinmediziner,33,99.0,0.567741935483871,0.008264462809917356,0.5051546391752577,0.5780725139962677,0.8590005945737226,1.4289649321493112,Low,0.35227536728689396,195.0,5.3445,Low,96.96969696969697
217,01/07/2022,119,Jameda import jameda_gold_pro 119.00 m1,jameda_gold_pro,1,18/02/2025 00:00,775,68,Lehrberg,13662,Allgemeinmediziner,33,119.0,1.0,0.18732782369146006,0.6082474226804123,1.234159779614325,0.48888208142282324,0.36068427303848394,Low,0.7520926512294884,195.0,2.2483,Low,63.86554621848739
470,01/07/2024,1,GoldPro 1€ monthly,jameda_gold_pro,1,28/02/2025 00:00,0,4,Berlin,1007,Orthopäde & Unfallchirurg,34,1.0,0.0,0.011019283746556474,0.0,0.013774104683195593,0.0,-0.006887052341597796,Low,0.008393891196757684,26.71,14.4075,Medium,2571.0
